Year,ABW_catch
1903,0
1904,11
1905,51
1906,139
1907,121
1908,148
1909,176
1910,409
1911,1476
1912,2448
1913,3121
1914,5276
1915,5595
1916,4377
1917,3083
1918,2151
1919,1992
1920,2976
1921,4559
1922,6702
1923,4876
1924,6666
1925,6120
1926,8488
1927,10275
1928,14172
1929,18518
1930,30405
1931,6614
1932,18994
1933,17441
1934,16601
1935,17853
1936,14631
1937,15143
1938,14159
1939,11902
1940,4994
1941,65
1942,127
1943,349
1944,1048
1945,3605
1946,9227
1947,6945
1948,7647
1949,6204
1950,7061
1951,5127
1952,3862
1953,2716
1954,2177
1955,1589
1956,1506
1957,1669
1958,1083
1959,535
1960,484
1961,610
1962,342
1963,94
1964,114
1965,256
1966,265
1967,53
1968,95
1969,41
1970,72
1971,27
1972,3
1973,1
