Year,Median,2.50%,97.50%
1904,205905,168473,276342
1905,205894,168462,276331
1906,205849,168420,276282
1907,205738,168324,276153
1908,205701,168324,276066
1909,205656,168297,275967
1910,205605,168264,275857
1911,205346,168025,275534
1912,204148,166911,274200
1913,202543,165674,272118
1914,200961,164630,269686
1915,197846,162101,265439
1916,195470,160671,261383
1917,194987,161145,258943
1918,195923,162694,257999
1919,197545,164400,258060
1920,198864,165296,258275
1921,198784,164645,257490
1922,197147,162824,255179
1923,193874,159910,250883
1924,193289,160218,248657
1925,191049,158604,244745
1926,189823,158194,241531
1927,186455,155570,236047
1928,181824,152024,228897
1929,173819,145467,217937
1930,161970,135549,202663
1931,138379,114206,175441
1932,137938,115853,171654
1933,125099,105220,155431
1934,113282,95449,140506
1935,101788,85829,126176
1936,88526,74262,110314
1937,77890,65072,97424
1938,66262,54696,83834
1939,55093,44545,71040
1940,45678,35907,60271
1941,42744,33544,56276
1942,44608,35937,57144
1943,46493,38443,57917
1944,48242,40911,58471
1945,49368,42861,58345
1946,47986,42396,55743
1947,40922,36276,47385
1948,35817,31989,41161
1949,29781,26685,34174
1950,24920,22437,28501
1951,18978,17020,21930
1952,14709,13138,17121
1953,11514,10240,13518
1954,9320,8275,11045
1955,7564,6705,9044
1956,6316,5607,7595
1957,5092,4511,6216
1958,3652,3173,4653
1959,2732,2321,3657
1960,2319,1953,3176
1961,1939,1611,2745
1962,1418,1117,2183
1963,1139,857,1876
1964,1097,825,1819
1965,1031,771,1733
1966,821,570,1511
1967,592,346,1276
1968,565,316,1244
1969,496,243,1166
1970,477,219,1154
1971,426,162,1107
1972,418,147,1103
1973,434,154,1120
1974,453,164,1141
1975,474,174,1157
1976,495,188,1178
1977,517,199,1201
1978,542,213,1222
1979,565,227,1256
1980,589,242,1273
1981,614,258,1300
1982,642,277,1334
1983,670,295,1368
1984,702,315,1403
1985,735,335,1443
1986,768,358,1481
1987,802,381,1517
1988,838,406,1557
1989,878,431,1596
1990,917,456,1640
1991,957,485,1694
1992,1000,516,1748
1993,1044,548,1808
1994,1090,581,1857
1995,1138,615,1918
1996,1188,651,1995
1997,1238,693,2069
1998,1291,733,2151
1999,1348,772,2241
2000,1409,813,2326
2001,1475,854,2413
2002,1538,906,2509
2003,1604,953,2597
2004,1676,1000,2703
2005,1747,1048,2823
2006,1823,1086,2958
2007,1898,1124,3104
2008,1985,1168,3255
2009,2075,1212,3432
2010,2168,1258,3627
2011,2265,1299,3827
2012,2372,1349,4040
2013,2476,1397,4281
2014,2585,1441,4548
2015,2705,1485,4795
2016,2824,1534,5105
2017,2953,1570,5403
2018,3078,1612,5743
2019,3220,1658,6091
2020,3371,1702,6492
2021,3527,1754,6916
2022,3687,1795,7358
2023,3847,1835,7872
2024,4018,1874,8395
2025,4201,1915,8971
2026,4398,1957,9582
2027,4600,2000,10215
2028,4800,2044,10956
2029,5008,2094,11699
2030,5245,2140,12492
2031,5491,2185,13391
2032,5721,2229,14278
2033,5988,2272,15199
2034,6274,2320,16216
2035,6564,2368,17278
2036,6864,2416,18507
2037,7182,2471,19852
2038,7503,2510,21183
2039,7846,2558,22562
2040,8206,2605,23956
2041,8580,2653,25579
2042,8986,2699,27370
2043,9384,2750,29293
2044,9836,2803,31271
2045,10285,2859,33362
2046,10761,2915,35889
2047,11253,2972,38301
2048,11765,3029,41091
2049,12296,3083,44149
2050,12873,3145,47425
2051,13462,3197,50937
2052,14056,3247,54710
2053,14677,3306,58607
2054,15362,3356,62858
2055,16035,3403,67479
2056,16750,3462,72243
2057,17523,3514,77465
2058,18350,3574,82904
2059,19186,3629,88617
2060,20067,3685,94979
2061,20950,3743,101960
2062,21896,3802,109459
2063,22873,3861,117053
2064,23922,3921,124361
2065,24979,3994,132585
2066,26108,4050,141301
2067,27248,4107,149796
2068,28428,4172,155138
2069,29696,4237,158930
2070,31062,4303,161793
2071,32511,4369,163580
2072,33982,4440,166589
2073,35542,4510,168174
2074,37090,4584,169535
2075,38731,4663,171133
2076,40433,4743,172402
2077,42150,4824,174170
2078,44098,4907,175277
2079,46071,4990,176221
2080,48308,5072,177678
2081,50538,5143,178534
2082,52718,5216,179598
2083,55129,5289,180670
2084,57837,5364,181573
2085,60396,5440,182516
2086,63196,5516,183284
2087,65863,5598,184087
2088,68632,5685,184730
2089,71722,5773,185512
2090,74884,5863,186624
2091,78273,5954,187600
2092,81926,6047,188638
2093,85697,6141,189326
2094,89816,6230,190368
2095,93575,6313,191138
2096,97888,6399,191870
2097,102574,6504,192443
2098,107452,6629,193242
2099,112154,6739,193800
2100,117143,6845,194902
